tamanho_n,algoritmo,cenario,tempo_segundos,razao_crescimento
1000,Fixo,Aleatório,0.0009000000000014552,
1000,Fixo,Ordenado,0.015657999999802996,
1000,Aleatório,Aleatório,0.0010901999999077816,
1000,Aleatório,Ordenado,0.0010333000000173342,
2000,Fixo,Aleatório,0.0018124999996871338,2.0138888885380037
2000,Fixo,Ordenado,0.0643156999999519,4.107529697327954
2000,Aleatório,Aleatório,0.0025824000003922265,2.368739681352658
2000,Aleatório,Ordenado,0.0024356999997507955,2.35720507085061
4000,Fixo,Aleatório,0.0053673999996135535,2.961324138228994
4000,Fixo,Ordenado,0.24301930000001448,3.7785377442863286
4000,Aleatório,Aleatório,0.005210100000113016,2.017541821298669
4000,Aleatório,Ordenado,0.004913200000373763,2.0171613913357347
8000,Fixo,Aleatório,0.009249799999906827,1.7233297314477776
8000,Fixo,Ordenado,0.9584635999999591,3.943981403945703
8000,Aleatório,Aleatório,0.01066339999988486,2.0466785665637035
8000,Aleatório,Ordenado,0.010145899999770336,2.0650289015302663
16000,Fixo,Aleatório,0.019146699999964767,2.069958269385028
16000,Fixo,Ordenado,3.856991499999822,4.024139779538823
16000,Aleatório,Aleatório,0.023668300000281306,2.219582872304975
16000,Aleatório,Ordenado,0.021919199999956618,2.160399767438353
